ID,Begintijd,Tijd van voltooien,E-mail,Naam,Tijd van laatste wijziging,"Wat is uw geslacht?
",Wat is het hoogste onderwijsniveau dat u heeft afgerond?,Wat is uw leeftijd?,"Wat is uw religieuze overtuiging?
",In welke provincie heeft u het grootste deel van uw jeugd doorgebracht?,Vindt u dat iemand zelf moet kunnen kiezen of die een abortus wil?,"Indien u bij de vorige vraag 'Nee' heeft ingevuld; 
Vindt u dat er uitzonderingen zijn waarin iemand dit wel zelf moet kunnen kiezen?  

",Vindt u dat er voor abortus gekozen mag worden als de gezondheid van de vrouw door de zwangerschap in gevaar kan komen?,Vindt u dat iemand een abortus mag als de zwangerschap een gevolg is van verkrachting?,"Vindt u dat een minderjarig kind de keuze moet hebben om voor een abortus te kiezen?  

","Vindt u dat de ouders zeggenschap moeten hebben over of hun minderjarige kind wel of niet voor abortus mag kiezen?

",Moet het wettelijk verplicht worden voor vrouwen die een abortus willen om een echo van de foetus te zien voordat een abortus toegestaan is?,Vindt u dat de wettelijke bedenktijd moet terugkomen?,Vindt u dat adoptie een alternatief is voor abortus?,Moet de biologische vader zeggenschap hebben over de beslissing voor een abortus?,Het leven van de vrouw in gevaar is,Het kind met een geestelijke handicap geboren kan worden,Het kind met een levensbedreigende ziekte geboren kan worden,De zwangerschap veroorzaakt is door verkrachting,De vrouw het kind niet wil houden om niet gespecificeerde redenen,De vrouw niet in staat is voor het kind te zorgen vanwege financiële beperkingen,Wil je nog iets kwijt over de vragen of iets toevoegen?
1,5-8-24 8:49:29,5-8-24 8:51:35,anonymous,,,Man,MBO,22,Niet gelovig,Groningen,Ja,Niet van toepassing ,Ja,Ja,Ja,Weet ik niet,Nee,Weet ik niet,Ja,Ja,eens,beetje eens,beetje eens,eens,eens,beetje eens,Hoi
2,5-8-24 8:49:07,5-8-24 8:52:43,anonymous,,,Man,Middelbare school,20,Niet gelovig,Groningen,Ja,Niet van toepassing ,Ja,Ja,Ja,Nee,Nee,Ja,Nee,Nee,eens,eens,eens,eens,beetje eens,eens,
3,5-8-24 8:50:36,5-8-24 8:53:12,anonymous,,,Vrouw,MBO,21,Anders,Groningen,Ja,Niet van toepassing ,Ja,Ja,Ja,Nee,Nee,Ja,Nee,Nee,zeer eens,oneens,oneens,zeer eens,zeer eens,zeer eens,
4,5-8-24 9:09:33,5-8-24 9:11:26,anonymous,,,Man,Middelbare school,20,Christendom ,Friesland,Ja,,Ja,Ja,Ja,Ja,Nee,Ja,Nee,Nee,eens,neutraal,beetje eens,eens,oneens,neutraal,
5,5-8-24 10:01:09,5-8-24 10:03:33,anonymous,,,Vrouw,Middelbare school,18,Niet gelovig,Drenthe,Ja,,Ja,Ja,Ja,Nee,Nee,Nee,Nee,Nee,zeer eens,neutraal,eens,zeer eens,zeer eens,beetje eens,
6,5-8-24 10:07:21,5-8-24 10:10:00,anonymous,,,Vrouw,MBO,30,Niet gelovig,Friesland,Ja,Niet van toepassing ,Ja,Ja,Ja,Weet ik niet,Nee,Nee,Nee,Ja,eens,beetje eens,beetje eens,zeer eens,beetje oneens,beetje eens,Bij vraag 11 een toelichting. Ouders moeten zeggenschap hebben mits er sprake is van incest/mishandeling in huis. 
7,5-8-24 10:02:38,5-8-24 10:11:41,anonymous,,,Man,HBO,23,Niet gelovig,Groningen,Ja,Niet van toepassing ,Ja,Ja,Ja,Ja,Nee,Nee,Nee,Nee,zeer eens,zeer eens,zeer eens,zeer eens,zeer eens,zeer eens,<3
8,5-8-24 10:07:47,5-8-24 10:12:36,anonymous,,,Man,Middelbare school,21,Niet gelovig,Friesland,Ja,Niet van toepassing ,Ja,Ja,Ja,Nee,Ja,Ja,Nee,Ja,eens,neutraal,beetje eens,eens,oneens,oneens,Sommige vragen zijn heel situatie afhankelijk voorbeeld ouder zeggenschap en biologische vader. 
9,5-8-24 10:05:24,5-8-24 10:14:18,anonymous,,,Vrouw,Middelbare school,24,Niet gelovig,Drenthe,Ja,Niet van toepassing ,Ja,Ja,Ja,Nee,Nee,Nee,Nee,Nee,zeer eens,zeer eens,zeer eens,zeer eens,zeer eens,zeer eens,Geef vrouwen altijd zelf de keuze 😍
10,5-8-24 10:21:59,5-8-24 10:24:19,anonymous,,,Vrouw,Middelbare school,20,Niet gelovig,Drenthe,Ja,Niet van toepassing ,Ja,Ja,Ja,Nee,Nee,Weet ik niet,Nee,Nee,zeer eens,neutraal,eens,zeer eens,zeer eens,zeer eens,
11,5-8-24 10:46:59,5-8-24 10:49:01,anonymous,,,Man,Middelbare school,20,Niet gelovig,Friesland,Ja,Niet van toepassing ,Ja,Ja,Ja,Weet ik niet,Nee,Nee,Nee,Ja,zeer eens,beetje eens,zeer eens,zeer eens,beetje eens,eens,
12,5-8-24 10:46:56,5-8-24 10:50:44,anonymous,,,Vrouw,Middelbare school,17,Niet gelovig,Groningen,Ja,Niet van toepassing ,Ja,Ja,Ja,Nee,Nee,Nee,Nee,Nee,zeer eens,neutraal,beetje eens,zeer eens,zeer eens,neutraal,
13,5-8-24 10:53:44,5-8-24 10:56:49,anonymous,,,Vrouw,HBO,24,Niet gelovig,Limburg,Ja,Niet van toepassing ,Ja,Ja,Ja,Nee,Nee,Nee,Nee,Ja,eens,beetje eens,eens,zeer eens,beetje eens,eens,
14,5-8-24 10:57:58,5-8-24 11:02:50,anonymous,,,Vrouw,HBO,50,Niet gelovig,Groningen,Ja,Niet van toepassing ,Ja,Ja,Ja,Weet ik niet,Nee,Nee,Nee,Nee,eens,beetje eens,beetje eens,eens,eens,beetje oneens,
15,5-8-24 11:02:00,5-8-24 11:06:30,anonymous,,,Man,MBO,55,Niet gelovig,Drenthe,Ja,Niet van toepassing ,Ja,Ja,Ja,Nee,Nee,Nee,Nee,Nee,beetje eens,neutraal,neutraal,eens,eens,neutraal,
16,5-8-24 11:29:00,5-8-24 11:33:55,anonymous,,,Man,HBO,49,Niet gelovig,Noord-Holland,Ja,Niet van toepassing ,Ja,Ja,Ja,Ja,Nee,Ja,Nee,Nee,zeer eens,beetje oneens,eens,zeer eens,zeer eens,zeer eens,"Het is altijd de keuze van de moeder, ongeacht de reden. Soms gaat dit in overleg met de vader of andere naasten."
17,5-8-24 11:40:13,5-8-24 11:42:22,anonymous,,,Man,HBO,28,Niet gelovig,Noord-Holland,Ja,Niet van toepassing ,Ja,Ja,Ja,Ja,Nee,Nee,Weet ik niet,Ja,zeer eens,eens,eens,zeer eens,eens,zeer eens,
18,5-8-24 11:43:28,5-8-24 11:46:34,anonymous,,,Man,HBO,53,Niet gelovig,Drenthe,Ja,,Ja,Ja,Ja,Ja,Nee,Nee,Nee,Nee,zeer eens,beetje eens,zeer eens,zeer eens,neutraal,neutraal,
19,5-8-24 11:55:49,5-8-24 11:58:16,anonymous,,,Man,Middelbare school,23,Niet gelovig,Friesland,Ja,Niet van toepassing ,Ja,Ja,Nee,Ja,Nee,Ja,Nee,Ja,neutraal,beetje eens,eens,eens,neutraal,neutraal,
20,5-8-24 12:16:54,5-8-24 12:20:27,anonymous,,,Vrouw,Geen diploma ,16,Niet gelovig,Groningen,Ja,Niet van toepassing ,Ja,Ja,Ja,Nee,Weet ik niet,Weet ik niet,Nee,Nee,zeer eens,zeer eens,zeer eens,zeer eens,zeer eens,zeer eens,Nee hoor :)
21,5-8-24 12:21:41,5-8-24 12:24:21,anonymous,,,Vrouw,Middelbare school,15,Niet gelovig,Groningen,Ja,,Ja,Ja,Ja,Weet ik niet,Nee,Weet ik niet,Weet ik niet,Nee,zeer eens,zeer eens,zeer eens,zeer eens,eens,zeer eens,
22,5-8-24 12:21:24,5-8-24 12:25:15,anonymous,,,Vrouw,MBO,48,Niet gelovig,Friesland,Ja,Niet van toepassing ,Ja,Ja,Weet ik niet,Ja,Nee,Nee,Nee,Nee,eens,beetje eens,beetje eens,eens,eens,beetje eens,
23,5-8-24 12:23:59,5-8-24 12:26:54,anonymous,,,Man,MBO,63,Christendom ,Zuid-Holland,Ja,Niet van toepassing ,Nee,Ja,Ja,Ja,Nee,Nee,Nee,Nee,oneens,neutraal,neutraal,neutraal,neutraal,neutraal,
24,5-8-24 12:26:07,5-8-24 12:28:27,anonymous,,,Man,MBO,24,Anders,Friesland,Ja,Niet van toepassing ,Ja,Ja,Nee,Ja,Nee,Ja,Nee,Ja,eens,eens,eens,eens,neutraal,oneens,
25,5-8-24 12:16:19,5-8-24 12:29:05,anonymous,,,Vrouw,Universiteit,44,Niet gelovig,Ik ben niet in Nederland opgegroeid,Ja,,Ja,Ja,Ja,Ja,Nee,Weet ik niet,Nee,Nee,,,,,,,Ik heb de laatste vraag niet ingevuld want ik kan me niet goed vinden in de formulering 'Een abortus is wenselijk wanneer'. Wenselijk voor wie? De vrouw? Haar ouders/partner? De maatschappij? Vanuit medisch perspectief? Gaat het meer om 'Een abortus moet mogelijk zijn wanneer' of 'Er mag ervoor gekozen worden wanneer'?
26,5-8-24 12:25:58,5-8-24 12:29:25,anonymous,,,Vrouw,MBO,36,Niet gelovig,Friesland,Ja,Niet van toepassing ,Ja,Ja,Weet ik niet,Nee,Nee,Nee,Nee,Nee,eens,eens,eens,eens,eens,eens,
